earth_date_time,mean_pressure(Pa)
01/01/1992,707
02/01/1992,707
03/01/1992,708
04/01/1992,707
05/01/1992,708
06/01/1992,707
07/01/1992,706
08/01/1992,705
09/01/1992,707
10/01/1992,708
11/01/1992,706
12/01/1992,706
01/01/1993,706
02/01/1993,706
03/01/1993,705
04/01/1993,706
05/01/1993,703
06/01/1993,703
07/01/1993,702
08/01/1993,703
09/01/1993,705
10/01/1993,706
11/01/1993,703
12/01/1993,703
01/01/1994,705
02/01/1994,707
03/01/1994,708
04/01/1994,707
05/01/1994,708
06/01/1994,708
07/01/1994,709
08/01/1994,711
09/01/1994,713
10/01/1994,713
11/01/1994,713
12/01/1994,713
01/01/1995,714
02/01/1995,716
03/01/1995,718
04/01/1995,717
05/01/1995,717
06/01/1995,718
07/01/1995,719
08/01/1995,719
09/01/1995,720
10/01/1995,720
11/01/1995,721
12/01/1995,722
01/01/1996,709
02/01/1996,724
03/01/1996,725
04/01/1996,725
05/01/1996,726
06/01/1996,726
07/01/1996,727
08/01/1996,729
09/01/1996,730
10/01/1996,730
11/01/1996,729
12/01/1996,732
01/01/1997,732
02/01/1997,734
03/01/1997,734
04/01/1997,735
05/01/1997,736
06/01/1997,737
07/01/1997,738
08/01/1997,739
09/01/1997,740
10/01/1997,741
11/01/1997,742
12/01/1997,744
01/01/1998,745
02/01/1998,747
03/01/1998,747
04/01/1998,748
05/01/1998,749
06/01/1998,750
07/01/1998,752
08/01/1998,753
09/01/1998,755
10/01/1998,755
11/01/1998,756
12/01/1998,758
01/01/1999,759
02/01/1999,760
03/01/1999,761
04/01/1999,762
05/01/1999,763
06/01/1999,751
07/01/1999,771
08/01/1999,767
09/01/1999,760
10/01/1999,787
11/01/1999,776
12/01/1999,776
01/01/2000,778
02/01/2000,778
03/01/2000,781
04/01/2000,781
05/01/2000,782
06/01/2000,783
07/01/2000,785
08/01/2000,787
09/01/2000,788
10/01/2000,788
11/01/2000,790
12/01/2000,791
01/01/2001,792
02/01/2001,794
03/01/2001,795
04/01/2001,796
05/01/2001,798
06/01/2001,799
07/01/2001,800
08/01/2001,801
09/01/2001,804
10/01/2001,804
11/01/2001,805
12/01/2001,806
01/01/2002,807
02/01/2002,809
03/01/2002,808
04/01/2002,812
05/01/2002,812
06/01/2002,813
07/01/2002,815
08/01/2002,817
09/01/2002,817
10/01/2002,819
11/01/2002,821
12/01/2002,821
01/01/2003,822
02/01/2003,824
03/01/2003,826
04/01/2003,826
05/01/2003,828
06/01/2003,829
07/01/2003,830
08/01/2003,832
09/01/2003,835
10/01/2003,834
11/01/2003,835
12/01/2003,836
01/01/2004,837
02/01/2004,838
03/01/2004,840
04/01/2004,841
05/01/2004,842
06/01/2004,843
07/01/2004,845
08/01/2004,845
09/01/2004,846
10/01/2004,847
11/01/2004,848
12/01/2004,848
01/01/2005,850
02/01/2005,851
03/01/2005,853
04/01/2005,853
05/01/2005,854
06/01/2005,855
07/01/2005,856
08/01/2005,857
09/01/2005,859
10/01/2005,859
11/01/2005,859
12/01/2005,860
01/01/2006,860
02/01/2006,862
03/01/2006,862
04/01/2006,861
05/01/2006,862
06/01/2006,863
07/01/2006,863
08/01/2006,864
09/01/2006,864
10/01/2006,865
11/01/2006,866
12/01/2006,865
01/01/2007,864
02/01/2007,867
03/01/2007,867
04/01/2007,867
05/01/2007,867
06/01/2007,868
07/01/2007,868
08/01/2007,870
09/01/2007,869
10/01/2007,869
11/01/2007,870
12/01/2007,869
01/01/2008,870
02/01/2008,872
03/01/2008,872
04/01/2008,873
05/01/2008,872
06/01/2008,873
07/01/2008,873
08/01/2008,873
09/01/2008,873
10/01/2008,872
11/01/2008,872
12/01/2008,873
01/01/2009,873
02/01/2009,874
03/01/2009,874
04/01/2009,874
05/01/2009,873
06/01/2009,873
07/01/2009,874
08/01/2009,873
09/01/2009,873
10/01/2009,872
11/01/2009,872
12/01/2009,872
01/01/2010,871
02/01/2010,872
03/01/2010,872
04/01/2010,863
05/01/2010,868
06/01/2010,867
07/01/2010,867
08/01/2010,867
09/01/2010,866
10/01/2010,865
11/01/2010,865
12/01/2010,864
01/01/2011,864
02/01/2011,864
03/01/2011,864
04/01/2011,863
05/01/2011,862
06/01/2011,861
07/01/2011,861
08/01/2011,861
09/01/2011,861
10/01/2011,861
11/01/2011,860
12/01/2011,860
01/01/2012,860
02/01/2012,860
03/01/2012,860
04/01/2012,859
05/01/2012,859
06/01/2012,858
07/01/2012,857
08/01/2012,857
09/01/2012,857
10/01/2012,857
11/01/2012,855
12/01/2012,854
01/01/2013,853
02/01/2013,854
03/01/2013,855
04/01/2013,853
05/01/2013,852
06/01/2013,853
07/01/2013,852
08/01/2013,852
09/01/2013,850
10/01/2013,850
11/01/2013,850
12/01/2013,849
01/01/2014,849
02/01/2014,848
03/01/2014,847
04/01/2014,846
05/01/2014,845
06/01/2014,846
07/01/2014,844
08/01/2014,843
09/01/2014,843
10/01/2014,843
11/01/2014,845
12/01/2014,840
01/01/2015,839
02/01/2015,841
03/01/2015,840
04/01/2015,839
05/01/2015,838
06/01/2015,837
07/01/2015,839
08/01/2015,836
09/01/2015,837
10/01/2015,836
11/01/2015,834
12/01/2015,832
01/01/2016,832
02/01/2016,834
03/01/2016,834
04/01/2016,833
05/01/2016,833
06/01/2016,832
07/01/2016,830
08/01/2016,830
09/01/2016,830
10/01/2016,830
11/01/2016,829
12/01/2016,828
01/01/2017,827
02/01/2017,828
03/01/2017,828
04/01/2017,827
05/01/2017,825
06/01/2017,825
07/01/2017,824
08/01/2017,824
09/01/2017,825
10/01/2017,823
11/01/2017,822
12/01/2017,821
01/01/2018,821
02/01/2018,821
03/01/2018,821
04/01/2018,820
05/01/2018,820
06/01/2018,820
07/01/2018,818
08/01/2018,818
09/01/2018,819
10/01/2018,817
11/01/2018,816
12/01/2018,817
01/01/2019,817
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
